"ID,Sprint,User Story,Titulo,Prioridad,Pasos,Resultado Esperado"
"TC-01,Sprint 4,US-04,Restricción de franjas de horarios pasados,Media,Intentar programar la entrega para las 09:00 AM siendo las 03:00 PM.,El bloque de horario aparece deshabilitado y no permite selección."
"TC-02,Sprint 4,US-04,Guardar y reutilizar una dirección frecuente de entrega,Media,""1. Acceder a dirección. 2. Ingresar dirección válida. 3. Activar 'Guardar dirección' con alias 'Casa'. 4. Confirmar. 5. Iniciar nuevo pedido y verificar disponibilidad."",La dirección 'Casa' aparece en la lista y autocompleta el campo al seleccionarla."
"TC-03,Sprint 4,US-04,Bloqueo de pedido al ingresar dirección fuera del radio de cobertura,Alta,""1. Acceder a dirección. 2. Ingresar una dirección fuera de la cobertura geográfica. 3. Presionar 'Confirmar dirección'."",El sistema detecta fuera de cobertura y muestra el mensaje correspondiente. El flujo no avanza."
"TC-04,Sprint 4,US-04,Bloqueo visual de horario de entrega con cupos agotados,Alta,""1. Acceder a selección de horario. 2. Identificar bloque con cupos agotados. 3. Intentar seleccionar ese bloque."",El horario aparece deshabilitado con etiqueta 'Cupos agotados' y no permite selección."
"TC-05,Sprint 4,US-04,Selección exitosa de un horario de entrega futuro con cupos disponibles,Alta,""1. Acceder a selección de horario a las 02:00 PM. 2. Identificar bloque de las '06:00 PM' disponible. 3. Seleccionar y confirmar."",""El bloque es seleccionable, queda marcado y el sistema confirma: 'Entrega programada para las 06:00 PM de hoy.'"""
